206 	? 	8 	Backenzahn 	chi 	Langzeichen: ?, vgl. 99 ? (Eckzahn) 	frei 	selten 	211 	? líng = Alter, Lebensjahr
207 	? 	8 	Kröte, Schildkröte 	min 	Langzeichen: ? 	frei 	sehr selten 	213 	? yuán = Weichschildkröte
208 	? 	8 	kleiner Vogel 	zhui 		gebunden 	selten 	172 	? shòu = verkaufen, ? què = Sperling, ? jiao = anbrennen, gebrannt
209 	? 	8 	Gold, Metall 	jin 	Langform von ? (Metall) 	frei 	sehr selten 	167 	? xin = wachsender Reichtum
210 	? 	8 	Fisch 	yú 	Langzeichen: ? 	frei 	häufig 	195 	? lu = dumm, ? li = Flusskarpfen
211 	? 	9 	Ton, Laut 	yin 		frei 	sehr selten 	180 	? zhang = Kapital, Stempel, ? yì = Bedeutung
212 	? 	9 	Leder, verändern 	gé 		frei 	selten 	177 	? bian = Peitsche, ? àn = Sattel
213 	? 	9 	sein, richtig, korrekt 	shì 		frei 	sehr selten 		? chí = Löffel, Schöpfkelle, ? tí = Thema
214 	? 	9 	Knochen 	gu 	vgl. 118 ? (Fleisch) 	frei 	selten 	188 	? hái = Skelett
215 	? 	9 	Duft, wohlriechend 	xiang 	vgl. 149 ? (Getreide) 	frei 	sehr selten 	186 	? xin = intensiver Duft
216 	? 	9 	Gespenst, Geist 	gui 		frei 	selten 	194 	? hún = Seele
217 	? 	9 	Nahrung, Speise 	shí 	Langform von 68 ? (Nahrung) 	frei 	sehr selten 	184 	? can = Zew. für Mahlzeiten
218 	? 	10 	hoch 	gao 	? Schreibvariante 	frei 	sehr selten 	189 	? láo = unerträglich (Temperatur) hohe Erscheinung
219 	? 	10 	Kessel, Dreifuß 	lì 		frei 	sehr selten 	193 	?gui = Dreifußkanne
220 	? 	10 	Haar 	biao 	vgl. 63 ? (Haarsträhne) 	gebunden 	selten 	190 	? rán = Backenbart, ? máo = modern
221 	? 	11 	Hanf 	má 		frei 	sehr selten 	200 	? mó = mahlen, ? mó = reiben, ? mó = Teufel, Dämon
222 	? 	11 	Hirsch 	lù 		frei 	sehr selten 	198 	? qí = Qilin
223 	? 	12 	schwarz 	hei 	? Schreibvariante 	frei 	selten 	203 	? mò = Tusche, ? qiàn = schwarz
224 	? 	13 	Trommel 	gu 		frei 	sehr selten 	207 	? teng = bum!
225 	? 	13 	Maus, Ratte 	shu 		frei 	selten 	208 	? tuó = Murmeltier
226 	? 	13 	Nase 	bí 		frei 	sehr selten 	209 	? han = schnarchen, ? wèng = näseln
