47 	? 	3 	anhalten, (Radikal des Zeichens zou) 	chuò, ??? zou zì páng 	Langzeichen: ? 	gebunden 	sehr häufig 	162 	? bian = Seite, ? zhè = dieses, ? guò = vorbeigehen
48 	? 	3 	Arbeit, arbeiten 	gong 		frei 	sehr selten 	48 	? qiao = geschickt, ? gong = Arbeit, arbeiten
49 	? 	3 	Erde 	tu ????		frei 	sehr häufig 	32 und 33 	? dì = Erde, Boden, ? sì = Tempel
50 	? 	3 	Gras, (Kopf des Zeichens cao) 	cao zì tóu ???? 	Langzeichen: ? 	gebunden 	sehr häufig 	140 	? cao = Gras, ? jié = Fest, ? lán = blau
51 	? 	3 	erhobene Hände, (unterer Teil des Zeichens gong) 	nòng zì dir ???? 	ähnelt Nr. 50 	frei 	sehr selten 	55 	? kai = öffnen
52 	? 	3 	groß 	dà 		frei 	relativ häufig 	37 	? yang = Zentrum, ? fu = Ehemann
53 	? 	3 	lahm 	yóu, wang ???? 	vgl. 29 (Beine) 	gebunden 	sehr selten 	43 	? wú = ohne, ? yóu = besonders
54 	? 	3 	Daumen, Zoll 	cùn 		frei 	sehr selten 	41 	? shòu = langes Leben, ? feng = Siegel
55 	? 	3 	Hand, (Radikal Hand) 	tíshou páng 	Kurzform von 111 ? 	gebunden 	sehr häufig 	64 	? da = schlagen
56 	? 	3 	Wurfspieß, Pfeil mit Schnur 	yì 	vgl. 101 ? (Lanze) 	frei 	sehr selten 	56 	? er2 = zwei, ? shì = Art
57 	? 	3 	Tuch, Schal 	jin 		frei 	relativ häufig 	50 	? bì = Währung, ? shi = Meister
58 	? 	3 	Mund, Öffnung 	kou 		frei 	sehr häufig 	30 	? chi = essen, ? chui = blasen, ? ma = (Fragepartikel)
59 	? 	3 	umgeben, (Rahmen des Zeichens wei) 	wéi, wéi zì kuang 		gebunden 	relativ häufig 	31 	? guó = Land, Staat, ? sì = vier, ? tù = Karte
60 	? 	3 	Berg, Gebirge 	shan 		frei 	häufig 	46 	? suì = Lebensjahr, ? gàng = Anhöhe, ? yán = Klippe, Felsen
61 	? 	3 	Spross, Trieb, junges Gras 	chè 		gebunden 	sehr selten 	45 	? chu = herauskommen
62 	? 	3 	Schritt, schlendern, bummeln 	chì ???? 	vgl. 22 ? (Mensch) 	frei 	häufig 	60 	? xíng = gehen, ? hen = sehr, ? jie = Straße
63 	? 	3 	Haarsträne, (drei gebogene Striche) 	san pie ??? 	vgl. 220 ? (Haar) 	gebunden 	selten 	59 	? xíng = Form, ? ying = Schatten
64 	? 	3 	Dämmerung, Sonnenuntergang 	xi 	vgl. 117 ? (Mond) 	frei 	sehr selten 	36 	? duo = viel, ? wài = draußen, ? míng = Namen, ? mèng = Traum
65 	? 	3 	verfolgen, langsam, (Kopf des Zeichens tou) 	zhi, dong zì tóu ???, ??? 		gebunden 	sehr selten 	34 	? chù = Ort, Stelle, ? dong = Winter
66 	? 	3 	Kugel, Ball, Pille 	wán 		frei 	sehr selten 		? shú = gar
67 	? 	3 	Leichnam 	shi 	ähnelt 86 ? (Tür) 	frei 	relativ häufig 	44 	? wei = Schwanz, ? ju = wohnen, ? shi = Mist, Exkremente
68 	? 	3 	Nahrung, (Radikal des Zeichens shi) 	???? shí zì páng 	Kurzform von 168 ?bzw. ? (Speise) 	gebunden 	38 Zeichen 	184 	? fàn = Essen, ? bao = satt
69 	? 	3 	Hund, (umgedrehter Hund) 	fan quan pang ???? 	Kurzform von 96 ? (Hund) 	gebunden 	60 Zeichen 	94 	? mao = Katze, ? gou = Hund
70 	? 	3 	Schweinerüssel 	jì 	? Schreibvariante 	gebunden 	sehr selten 	58 	? gui = zurück, ? líng = Seele
71 	? 	3 	Bogen 	gong 		frei 	selten 	57 	? zhang = Blatt, ? gu = verwaist
72 	? 	3 	selbst, persönlich, bereits 	Ji 	? yi ? si ? 	frei 	sehr selten 	49 	? ji = selbst, ? dao = führen
73 	? 	3 	Frau 	nu 		frei 	häufig 	38 	? ma = Mama, ? jie = ältere Schwester, ? mèi = jüngere Schwester
74 	? 	3 	Kind 	zi 		frei 	selten 	39 	? hái = Kind, ? kong = Loch, ? yùn = schwanger
75 	? 	3 	Pferd 	ma 	Langzeichen: ? 	frei 	häufig 	187 	? jià = treiben, ? mà = schimpfen, ? luó = Maultier
76 	? 	3 	eins 	yao 		frei 	sehr selten 	52 	? yòu = jung, ? yue = vereinbaren
77 	? 	3 	Seide 	mì (si) ???? 	Traditionelle Langzeichen: ? ? 	frei 	sehr häufig 	120 	? si = Seide, ? chóu = Seidenstoff, ? hóng = rot
78 	? 	3 	Strom, Fluss, ( drei Winkelstriche) 	chuan, san guài 		frei 	sehr selten 	47 	? chuan = Fluss, Strom; ? zai = Katastrophe
79 	? 	3 	klein 	Xiao 	? als Schreibvariante 	frei 	selten 	42 	? shao = wenig, ? sheng = sparen
80 	? 	4 	Feuer 	biao, huo ??? 	Sì dian als Kurzform von 83 ? (Feuer) 	frei 	selten 	86 	? rè = heiß, ? dian = Punkt, ? zhào = glänzen
81 	? 	4 	Herz 	xin 	vgl. 41 ? (Herz) 	frei 	häufig 	61 	? bì = müssen, ? kong = fürchten, ängstlich
82 	? 	4 	Scheffel, Hohlmaß 	dòu 		frei 	sehr selten 	68 	? xié = schräg
83 	? 	4 	Feuer, Flamme 	huo ???? 	Kurzform ist 80 ? (Feuer) 	frei 	häufig 	86 	? yan = Zigarette, ? yán = heiß, ? miè = löschen
84 	? 	4 	Muster, Kultur, Schrift, Text 	wén 		frei 	sehr selten 	67 	? liú = (Familienname)
85 	? 	4 	Viereck, Himmelsrichtung 	fang 		frei 	selten 	70 	? lu = reisen
86 	? 	4 	Türflügel 	hù ???? 	ähnelt 67 ? (Leichnam) 	frei 	selten 	63 	? shan = fächeln, anstiften
87 	? 	4 	Hinweis, (Radikal des Zeichens shi) 	shì zì páng ???? 	Kurzform von 132 ? 	frei 	relativ häufig 	113 	? zhù = feiern, gratulieren
88 	? 	4 	König 	wáng ???? 	vgl. 131 ? (Jade) 	frei 	häufig 	96 	? bo = Glas, ? lí = Glas
89 	? 	4 	Herrscher, Gastgeber 	zhu 		frei 	sehr selten 		? dú = Gift, ? zé = Aufgabe
90 	? 	4 	Himmel, Tag 	tian 	? Schreibvariante 	frei 	sehr selten 		? tun = schlucken
91 	? 	4 	Leder 	wéi 		frei 	sehr selten 		? wei = richtig
92 	? 	4 	alt 	lao 	Langzeichen: ? (alt) 	frei 	sehr selten 	125 	? lao = alt, ? kao = prüfen, ? xiào = kindliche Pietät
93 	? 	4 	zwanzig 	niàn 	Zwei ? (shí = zehn), ? Schreibvariante 	frei 	sehr selten 		? huáng = gelb
94 	? 	4 	Baum, Holz 	mù 		frei 	sehr häufig 	75 	? lin2 = Wald, ? sen1 = Urwald, ? ben3 = Wurzel
95 	? 	4 	nicht 	bù 		frei 	sehr selten 		? fou3 = Nein, negativ
96 	? 	4 	Hund 	quan 	Langform von 69 ? (Hund) 	frei 	sehr selten 	94 	? ku1 = weinen
97 	? 	4 	schlecht, böse 	dai 		frei 	relativ häufig 	78 	? si3 = sterben, ? lie4 = auflisten
98 	? 	4 	Ziegel 	wa 		frei 	sehr selten 	98 	? ping2 = Flasche, ? weng4 = Steingutkübel, ? ci2 = Porzellan
99 	? 	4 	Eckzahn 	yá 	vgl. 206 ? (Backenzahn) 	frei 	sehr selten 	92 	? ya3 = elegant, vornehm, ? ya1 = Krähe, Rabe
100 	? 	4 	Wagen, Fahrzeug 	che 	Langzeichen: ? 	frei 	häufig 	159 	? lun2 = Rad
101 	? 	4 	Lanze, Hiebaxt 	ge 	vgl. 56 ? (Wurfspieß) 	frei 	selten 	62 	? wo = ich, ? huá = rudern, ? zhàn = Krieg
102 	? 	4 	Zehe, stehen bleiben, unterbrechen 	zhi 		frei 	sehr selten 	77 	? zhèng = richtig, ? bù = Schritt, ? ci = dieses
103 	? 	4 	Sonne 	rì 	vgl. 118 ? (Mond) 	frei 	häufig 	72 	? míng = hell, ? zao = früh, ? shí = Stunde
104 	? 	4 	sprechen, sagen 	yue 		frei 	sehr selten 	73 	? qu = Lied, ? dian4 = Strom, ? mào = wagen
105 	? 	4 	Mitte 	zhong 		frei 	sehr selten 		? zho1ng = loyal, ? guì = teuer
106 	? 	4 	Kaurimuschel 	bèi 	Langzeichen: ? 	frei 	häufig 	154 	? huò = Ware, ? mào = Handel
